,price,origin_id,destination_id,outbound_date,inbound_date,currency,origin_city_name,origin_country_name,destination_city_name,destination_country_name,direct,carrier_name,carrier_id,skyscanner_code,date_collected
29,18.0,PMI,LON,2017-05-06T00:00:00,2017-05-06T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
30,21.0,PMI,LON,2017-05-06T00:00:00,2017-05-06T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
31,49.0,PMI,LON,2017-05-06T00:00:00,2017-05-06T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
32,37.0,PMI,LON,2017-05-07T00:00:00,2017-05-07T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
33,582.0,PMI,LON,2017-05-07T00:00:00,2017-05-07T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
34,45.0,PMI,LON,2017-05-07T00:00:00,2017-05-07T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
35,232.0,PMI,LON,2017-05-07T00:00:00,2017-05-07T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
36,62.0,PMI,LON,2017-05-07T00:00:00,2017-05-07T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
37,55.0,PMI,LON,2017-05-08T00:00:00,2017-05-08T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
38,63.0,PMI,LON,2017-05-08T00:00:00,2017-05-08T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
39,31.0,PMI,LON,2017-05-08T00:00:00,2017-05-08T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
